指令類型,參數說明,使用說明,範例,來源檔案,完整上下文
OPEN,根據上下文,執行 OPEN 相關操作,OPEN 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",PC#-#Open UART
DELAY,根據上下文,執行 DELAY 相關操作,DELAY 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",":Delay,""000"""
LOG,根據上下文,執行 LOG 相關操作,LOG 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx","0,Login"
START,根據上下文,執行 START 相關操作,START 相關用法,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx",PC#-Check DUT start up
Version,Development & Production,執行 Version 功能，參數: Development & Production,Version(Development & Production),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx","SW Version
(Development & Production)"
Orange,boot up,調用 Orange 函數，參數: boot up,Orange(boot up),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx","Orange (boot up)
Green (working)
Red (TBC)"
Green,working,執行 Green 功能，參數: working,Green(working),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx","Orange (boot up)
Green (working)
Red (TBC)"
Red,TBC,執行 Red 功能，參數: TBC,Red(TBC),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx","Orange (boot up)
Green (working)
Red (TBC)"
G,Cellular,執行 G 功能，參數: Cellular,G(Cellular),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx","可參考 sheet ""5G (Cellular)"""
PC,VLC,執行 PC 功能，參數: VLC,PC(VLC),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx",1.       Video stream on PC (VLC)
IP,DHCP,執行 IP 功能，參數: DHCP,IP(DHCP),"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx",development & production images 的 Ethernet 為浮動 IP (DHCP)
INFO,根據上下文,執行 INFO 相關操作,INFO 相關用法,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",3. 檢查 Cellular Network Information and Status
啟動設定,FW_VERSION,從 Global.ini 的 Settings 區段讀取 FW_VERSION 值,*$(FW_VERSION),"VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(FW_VERSION)
RECEIVE,根據上下文,執行 RECEIVE 相關操作,RECEIVE 相關用法,VALO360_TestFlow_20250218_ER2.xlsx,"@3 packets received, 0% packet loss"
啟動設定,sfisBattery_SKU,從 Global.ini 的 Settings 區段讀取 sfisBattery_SKU 值,*$(sfisBattery_SKU),VALO360_TestFlow_20250307_POE.xlsx,":SetVal,""$G_VALO360_MODEL"",""*$(sfisBattery_SKU)"""
啟動設定,VALO360_Battery_MODEL,從 Global.ini 的 Settings 區段讀取 VALO360_Battery_MODEL 值,*$(VALO360_Battery_MODEL),VALO360_TestFlow_20250307_POE.xlsx,*$(VALO360_Battery_MODEL)
啟動設定,VALO360_5G_Battery,從 Global.ini 的 Settings 區段讀取 VALO360_5G_Battery 值,*$(VALO360_5G_Battery),"VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250307_POE.xlsx",*$(VALO360_5G_Battery)
啟動設定,VALO360_WIFI_Battery,從 Global.ini 的 Settings 區段讀取 VALO360_WIFI_Battery 值,*$(VALO360_WIFI_Battery),"VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250307_POE.xlsx",*$(VALO360_WIFI_Battery)
啟動設定,VALO360_5G_N_battery,從 Global.ini 的 Settings 區段讀取 VALO360_5G_N_battery 值,*$(VALO360_5G_N_battery),VALO360_TestFlow_20250307_POE.xlsx,*$(VALO360_5G_N_battery)
啟動設定,sfisSKU,從 Global.ini 的 Settings 區段讀取 sfisSKU 值,*$(sfisSKU),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx",UART@diag -s sku *$(sfisSKU)\r\n
啟動設定,VALO360_ALL_MODEL,從 Global.ini 的 Settings 區段讀取 VALO360_ALL_MODEL 值,*$(VALO360_ALL_MODEL),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(VALO360_ALL_MODEL)
啟動設定,VALO360_5G,從 Global.ini 的 Settings 區段讀取 VALO360_5G 值,*$(VALO360_5G),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(VALO360_5G)
啟動設定,VALO360_WIFI,從 Global.ini 的 Settings 區段讀取 VALO360_WIFI 值,*$(VALO360_WIFI),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(VALO360_WIFI)
啟動設定,VALO360_NObattery,從 Global.ini 的 Settings 區段讀取 VALO360_NObattery 值,*$(VALO360_NObattery),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",*$(VALO360_NObattery)
變數設定,"uuid = "",""\n"":Trim:rpString,"" "","""";","將 "",""\n"":Trim:rpString,"" "",""""; 賦值給變數 uuid","uuid = "",""\n"":Trim:rpString,"" "","""";","VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx","$gWIFI_status:rpString,"" "","""":WithinString,""uuid="",""\n"":Trim:rpString,"" "","""";"
WRITE,根據上下文,執行 WRITE 相關操作,WRITE 相關用法,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx","0,Write ISN to MB"
變數設定,I = 0x6f,將 0x6f 賦值給變數 I,I = 0x6f,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_IMU.xlsx",@Who Am I=0x6f
變數設定,I = 0x08,將 0x08 賦值給變數 I,I = 0x08,VALO360_TestFlow_20250318_MB_ER2.xlsx,@Who Am I=0x08
啟動設定,Check _ANT8,從 Global.ini 的 Settings 區段讀取 Check _ANT8 值,*$(Check _ANT8),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT8)
啟動設定,Check _ANT9,從 Global.ini 的 Settings 區段讀取 Check _ANT9 值,*$(Check _ANT9),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT9)
變數設定,cfun = 1\r\n,將 1\r\n 賦值給變數 cfun,cfun = 1\r\n,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",UART@test5g at+cfun=1\r\n
啟動設定,SIM1,從 Global.ini 的 Settings 區段讀取 SIM1 值,*$(SIM1),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(SIM1)||@*$(SIM2)||@*$(SIM3)||
啟動設定,SIM2,從 Global.ini 的 Settings 區段讀取 SIM2 值,*$(SIM2),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(SIM1)||@*$(SIM2)||@*$(SIM3)||
啟動設定,SIM3,從 Global.ini 的 Settings 區段讀取 SIM3 值,*$(SIM3),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(SIM1)||@*$(SIM2)||@*$(SIM3)||
啟動設定,MFG_WIFI_MB,從 Global.ini 的 Settings 區段讀取 MFG_WIFI_MB 值,*$(MFG_WIFI_MB),"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(MFG_WIFI_MB)
SAVE,根據上下文,執行 SAVE 相關操作,SAVE 相關用法,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250407_Function.xlsx",":SfSaveLinkData,""SNA"",""*(DUT_SKU)"""
啟動設定,VALO360_MODEL,從 Global.ini 的 Settings 區段讀取 VALO360_MODEL 值,*$(VALO360_MODEL),VALO360_TestFlow_20250326_Final.xlsx,":SetVal,""$G_VALO360_MODEL"",""*$(VALO360_MODEL)"""
啟動設定,FOTA_VERSION,從 Global.ini 的 Settings 區段讀取 FOTA_VERSION 值,*$(FOTA_VERSION),"VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_Final.xlsx",@*$(FOTA_VERSION)
CLOSE,根據上下文,執行 CLOSE 相關操作,CLOSE 相關用法,"VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250407_Function.xlsx",Close UART
啟動設定,VALO360_default_MODEL,從 Global.ini 的 Settings 區段讀取 VALO360_default_MODEL 值,*$(VALO360_default_MODEL),"VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx",":SetVal,""$G_VALO360_MODEL"",""*$(VALO360_default_MODEL)"""
變數設定,test = PASS,將 PASS 賦值給變數 test,test = PASS,VALO360_TestFlow_20250326_IMU.xlsx,@Gyro test = PASS
啟動設定,QRCODE_KEY,從 Global.ini 的 Settings 區段讀取 QRCODE_KEY 值,*$(QRCODE_KEY),VALO360_TestFlow_20250407_Function.xlsx,"(SSN,%s,@*$(QRCODE_KEY),)"
變數設定,"egmr = 0,5\r\n","將 0,5\r\n 賦值給變數 egmr","egmr = 0,5\r\n",VALO360_TestFlow_20250407_Function.xlsx,"UART@test5g at+egmr=0,5\r\n"
Antenna,SAM need,執行 Antenna 功能，參數: SAM need,Antenna(SAM need),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx","0,CHECK  5G Antenna(SAM need)"
變數設定,CSYSSEL = ?\r\n,將 ?\r\n 賦值給變數 CSYSSEL,CSYSSEL = ?\r\n,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",UART@test5g AT+CSYSSEL=?\r\n
啟動設定,Check _ANT1,從 Global.ini 的 Settings 區段讀取 Check _ANT1 值,*$(Check _ANT1),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT1)
啟動設定,Check _ANT2,從 Global.ini 的 Settings 區段讀取 Check _ANT2 值,*$(Check _ANT2),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT2)
啟動設定,Check _ANT3,從 Global.ini 的 Settings 區段讀取 Check _ANT3 值,*$(Check _ANT3),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT3)
啟動設定,Check _ANT4,從 Global.ini 的 Settings 區段讀取 Check _ANT4 值,*$(Check _ANT4),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT4)
啟動設定,Check _ANT5,從 Global.ini 的 Settings 區段讀取 Check _ANT5 值,*$(Check _ANT5),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT5)
啟動設定,Check _ANT6,從 Global.ini 的 Settings 區段讀取 Check _ANT6 值,*$(Check _ANT6),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT6)
啟動設定,Check _ANT7,從 Global.ini 的 Settings 區段讀取 Check _ANT7 值,*$(Check _ANT7),"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx",@*$(Check _ANT7)
