command,parameters,description,example,usage_note,file_names
OPEN,根據上下文,OPEN 指令,OPEN 相關用法,執行 OPEN 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
DELAY,根據上下文,DELAY 指令,DELAY 相關用法,執行 DELAY 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
LOG,根據上下文,LOG 指令,LOG 相關用法,執行 LOG 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
START,根據上下文,START 指令,START 相關用法,執行 START 相關操作,"Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx, VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx"
Version,Development & Production,Version 函數,Version(Development & Production),執行 Version 功能，參數: Development & Production,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
Orange,boot up,Orange 函數調用,Orange(boot up),調用 Orange 函數，參數: boot up,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
Green,working,Green 函數,Green(working),執行 Green 功能，參數: working,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
Red,TBC,Red 函數,Red(TBC),執行 Red 功能，參數: TBC,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
G,Cellular,G 函數,G(Cellular),執行 G 功能，參數: Cellular,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
PC,VLC,PC 函數,PC(VLC),執行 PC 功能，參數: VLC,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
IP,DHCP,IP 函數,IP(DHCP),執行 IP 功能，參數: DHCP,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx"
INFO,根據上下文,INFO 指令,INFO 相關用法,執行 INFO 相關操作,"VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx, VALO360_ER2 OQC Function Check List_20250418.xlsx, VALO360_TestFlow_20250218_POE_LoopOK.xlsx, VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,FW_VERSION,使用 Global.ini 中的 FW_VERSION 變數,*$(FW_VERSION),從 Global.ini 的 Settings 區段讀取 FW_VERSION 值,"VALO360_TestFlow_20250218_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
RECEIVE,根據上下文,RECEIVE 指令,RECEIVE 相關用法,執行 RECEIVE 相關操作,VALO360_TestFlow_20250218_ER2.xlsx
啟動設定,sfisBattery_SKU,使用 Global.ini 中的 sfisBattery_SKU 變數,*$(sfisBattery_SKU),從 Global.ini 的 Settings 區段讀取 sfisBattery_SKU 值,VALO360_TestFlow_20250307_POE.xlsx
啟動設定,VALO360_Battery_MODEL,使用 Global.ini 中的 VALO360_Battery_MODEL 變數,*$(VALO360_Battery_MODEL),從 Global.ini 的 Settings 區段讀取 VALO360_Battery_MODEL 值,VALO360_TestFlow_20250307_POE.xlsx
啟動設定,VALO360_5G_Battery,使用 Global.ini 中的 VALO360_5G_Battery 變數,*$(VALO360_5G_Battery),從 Global.ini 的 Settings 區段讀取 VALO360_5G_Battery 值,"VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250307_POE.xlsx"
啟動設定,VALO360_WIFI_Battery,使用 Global.ini 中的 VALO360_WIFI_Battery 變數,*$(VALO360_WIFI_Battery),從 Global.ini 的 Settings 區段讀取 VALO360_WIFI_Battery 值,"VALO360_TestFlow_20250307_POE.xlsx, VALO360_TestFlow_20250307_POE.xlsx"
啟動設定,VALO360_5G_N_battery,使用 Global.ini 中的 VALO360_5G_N_battery 變數,*$(VALO360_5G_N_battery),從 Global.ini 的 Settings 區段讀取 VALO360_5G_N_battery 值,VALO360_TestFlow_20250307_POE.xlsx
啟動設定,sfisSKU,使用 Global.ini 中的 sfisSKU 變數,*$(sfisSKU),從 Global.ini 的 Settings 區段讀取 sfisSKU 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx"
啟動設定,VALO360_ALL_MODEL,使用 Global.ini 中的 VALO360_ALL_MODEL 變數,*$(VALO360_ALL_MODEL),從 Global.ini 的 Settings 區段讀取 VALO360_ALL_MODEL 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,VALO360_5G,使用 Global.ini 中的 VALO360_5G 變數,*$(VALO360_5G),從 Global.ini 的 Settings 區段讀取 VALO360_5G 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,VALO360_WIFI,使用 Global.ini 中的 VALO360_WIFI 變數,*$(VALO360_WIFI),從 Global.ini 的 Settings 區段讀取 VALO360_WIFI 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,VALO360_NObattery,使用 Global.ini 中的 VALO360_NObattery 變數,*$(VALO360_NObattery),從 Global.ini 的 Settings 區段讀取 VALO360_NObattery 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
變數設定,"uuid = "",""\n"":Trim:rpString,"" "","""";",設定變數 uuid 的值,"uuid = "",""\n"":Trim:rpString,"" "","""";","將 "",""\n"":Trim:rpString,"" "",""""; 賦值給變數 uuid","VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
WRITE,根據上下文,WRITE 指令,WRITE 相關用法,執行 WRITE 相關操作,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
變數設定,I = 0x6f,設定變數 I 的值,I = 0x6f,將 0x6f 賦值給變數 I,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_IMU.xlsx"
變數設定,I = 0x08,設定變數 I 的值,I = 0x08,將 0x08 賦值給變數 I,VALO360_TestFlow_20250318_MB_ER2.xlsx
啟動設定,Check _ANT8,使用 Global.ini 中的 Check _ANT8 變數,*$(Check _ANT8),從 Global.ini 的 Settings 區段讀取 Check _ANT8 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT9,使用 Global.ini 中的 Check _ANT9 變數,*$(Check _ANT9),從 Global.ini 的 Settings 區段讀取 Check _ANT9 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
變數設定,cfun = 1\r\n,設定變數 cfun 的值,cfun = 1\r\n,將 1\r\n 賦值給變數 cfun,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,SIM1,使用 Global.ini 中的 SIM1 變數,*$(SIM1),從 Global.ini 的 Settings 區段讀取 SIM1 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,SIM2,使用 Global.ini 中的 SIM2 變數,*$(SIM2),從 Global.ini 的 Settings 區段讀取 SIM2 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,SIM3,使用 Global.ini 中的 SIM3 變數,*$(SIM3),從 Global.ini 的 Settings 區段讀取 SIM3 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,MFG_WIFI_MB,使用 Global.ini 中的 MFG_WIFI_MB 變數,*$(MFG_WIFI_MB),從 Global.ini 的 Settings 區段讀取 MFG_WIFI_MB 值,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
SAVE,根據上下文,SAVE 指令,SAVE 相關用法,執行 SAVE 相關操作,"VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250318_MB_ER2.xlsx, VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,VALO360_MODEL,使用 Global.ini 中的 VALO360_MODEL 變數,*$(VALO360_MODEL),從 Global.ini 的 Settings 區段讀取 VALO360_MODEL 值,VALO360_TestFlow_20250326_Final.xlsx
啟動設定,FOTA_VERSION,使用 Global.ini 中的 FOTA_VERSION 變數,*$(FOTA_VERSION),從 Global.ini 的 Settings 區段讀取 FOTA_VERSION 值,"VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250326_Final.xlsx"
CLOSE,根據上下文,CLOSE 指令,CLOSE 相關用法,執行 CLOSE 相關操作,"VALO360_TestFlow_20250326_Final.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,VALO360_default_MODEL,使用 Global.ini 中的 VALO360_default_MODEL 變數,*$(VALO360_default_MODEL),從 Global.ini 的 Settings 區段讀取 VALO360_default_MODEL 值,"VALO360_TestFlow_20250326_IMU.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
變數設定,test = PASS,設定變數 test 的值,test = PASS,將 PASS 賦值給變數 test,VALO360_TestFlow_20250326_IMU.xlsx
啟動設定,QRCODE_KEY,使用 Global.ini 中的 QRCODE_KEY 變數,*$(QRCODE_KEY),從 Global.ini 的 Settings 區段讀取 QRCODE_KEY 值,VALO360_TestFlow_20250407_Function.xlsx
變數設定,"egmr = 0,5\r\n",設定變數 egmr 的值,"egmr = 0,5\r\n","將 0,5\r\n 賦值給變數 egmr",VALO360_TestFlow_20250407_Function.xlsx
Antenna,SAM need,Antenna 函數,Antenna(SAM need),執行 Antenna 功能，參數: SAM need,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
變數設定,CSYSSEL = ?\r\n,設定變數 CSYSSEL 的值,CSYSSEL = ?\r\n,將 ?\r\n 賦值給變數 CSYSSEL,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT1,使用 Global.ini 中的 Check _ANT1 變數,*$(Check _ANT1),從 Global.ini 的 Settings 區段讀取 Check _ANT1 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT2,使用 Global.ini 中的 Check _ANT2 變數,*$(Check _ANT2),從 Global.ini 的 Settings 區段讀取 Check _ANT2 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT3,使用 Global.ini 中的 Check _ANT3 變數,*$(Check _ANT3),從 Global.ini 的 Settings 區段讀取 Check _ANT3 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT4,使用 Global.ini 中的 Check _ANT4 變數,*$(Check _ANT4),從 Global.ini 的 Settings 區段讀取 Check _ANT4 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT5,使用 Global.ini 中的 Check _ANT5 變數,*$(Check _ANT5),從 Global.ini 的 Settings 區段讀取 Check _ANT5 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT6,使用 Global.ini 中的 Check _ANT6 變數,*$(Check _ANT6),從 Global.ini 的 Settings 區段讀取 Check _ANT6 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
啟動設定,Check _ANT7,使用 Global.ini 中的 Check _ANT7 變數,*$(Check _ANT7),從 Global.ini 的 Settings 區段讀取 Check _ANT7 值,"VALO360_TestFlow_20250407_Function.xlsx, VALO360_TestFlow_20250407_Function.xlsx"
